issn	title	articles	links	coverage
1251-8050	Comptes rendus de l'Académie des sciences. Earth & planetary sciences. Série II, Sciences de la terre et des planètes =	108	67	62
0440-6605	Helminthologia	108	23	21
0080-469X	Proceedings of the Royal Society of Queensland	108	2	2
0073-9901	Memórias do Instituto de Butantan	108	1	1
0044-5193	Zoologische Jahrbücher. Abteilung für Systematik, Ökologie und Geographie der Tiere	108	0	0
0369-6111	Le Naturaliste malgache / Parc Zoologique et Botanique	108	0	0
0028-8330	New Zealand journal of marine and freshwater research	107	107	100
0368-2188	Journal of the Faculty of Science, Hokkaido University. Series VI, Zoology	107	101	94
0027-1403	Bi︠u︡lletenʹ Moskovskogo obshchestva ispytateleĭ prirody. Otdel biologicheskiĭ	107	0	0
0253-3340	Geobios new reports	107	0	0
0003-049X	Proceedings of the American Philosophical Society held at Philadelphia for promoting useful knowledge	106	38	36
1026-2296		106	5	5
0214-8358	Scientia marina	105	42	40
0184-0266	Mémoires de biospéologie	105	0	0
0366-3469	Bulletin de la Société Neuchâteloise des Sciences Naturelles	104	103	99
0037-850X	Boletín de la Sociedad de Biología de Concepción	103	97	94
0385-0900	Mizunami-shi Kaseki Hakubutsukan kenkyū hōkoku. Bulletin of the Mizunami Fossil Museum	103	1	1
0037-8747	Memorie della Società entomologica italiana	103	0	0
1435-1935	Mitteilungen aus dem Museum für Naturkunde in Berlin. Zoologische Reihe	102	101	99
1477-2019	Journal of systematic palaeontology	102	101	99
1002-0926	Contributions from Shanghai Institute of Entomology	102	1	1
1608-8700	Denisia	102	0	0
0037-8844	Atti della Società italiana di scienze naturali e del Museo civico di storia naturale in Milano	101	2	2
0895-0237	Publication. Field Museum of Natural History. Zoological series /	100	27	27
0367-8288	The Indian journal of entomology	100	0	0
0375-0205	Opuscula entomologica	100	0	0
0078-5326	Ophelia	99	99	100
0066-7870	Arquivos de zoologia	99	62	63
0373-5893	Proceedings of the Zoological Society	99	7	7
0569-4450	Contributions of the American Entomological Institute	99	7	7
1524-4156	Bulletin / New Mexico Museum of Natural History and Science	99	1	1
1125-0003	The Italian journal of zoology	98	96	98
0022-8443	Transactions of the Kansas Academy of Science	98	92	94
0013-8738	Entomological revue	98	0	0
0191-6122	Palynology	97	19	20
0939-7140	Zoology in the Middle East	97	1	1
0379-1785	Annalen. Koninklijk Museum voor Midden-Afrika, Tervuren, België = Annales. Série in-8o, Sciences zoologiques / Musée royal de l'Afrique centrale, Tervuren, Belgique. Reeks in-8o, Zoologische wetenschappen /	97	0	0
1631-0683	Comptes rendus. Palévol	96	96	100
0031-0247	Palaeovertebrata	96	1	1
1042-0940		95	89	94
0065-8162	Memoirs of the American Entomological Institute	95	4	4
0378-6870	Geologisch-paläontologische Mitteilungen Innsbruck	95	4	4
0041-4018	Tulane studies in geology and paleontology	95	1	1
1015-8235	Miscellaneous papers / Centre for Entomological Studies Ankara	95	1	1
0392-6672	International journal of speleology	94	94	100
1439-6092	Organisms, diversity, & evolution	94	84	89
0173-5373	Amphibia-reptilia : publication of the Societas Europaea Herpetologica	93	89	96
1519-566X	Neotropical entomology	93	86	92
1323-5818	Molluscan research	93	20	22
0035-919X	Transactions of the Royal Society of South Africa	92	78	85
0394-0063		92	1	1
0080-2425	Revista peruana de entomología	91	87	96
1000-3207	880-01 Shui sheng sheng wu xue bao = Acta hydrobiologica Sinica / Zhongguo ke xue yuan shui sheng sheng wu yan jiu suo bian ji	91	3	3
0020-9309	Internationale Revue der gesamten Hydrobiologie	90	82	91
0365-7000	Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft	90	27	30
0181-0642	Bulletin du Muséum national d'histoire naturelle. Section C, Sciences de la terre, paléontologie, géologie, minéralogie	90	0	0
0013-8959	Entomophaga	89	89	100
0036-8075	Science	89	69	78
0385-244X	Bulletin of the National Science Museum. Series C: Geology & paleontology	89	2	2
0387-9089	880-01 Toyama-shi Kagaku Bunka Sentā kenkyū hōkoku	89	1	1
1609-2465	Journal of the National Taiwan Museum	89	1	1
0022-2011	Journal of invertebrate pathology	88	87	99
0078-8562	Palaeontologia Polonica / Polska Akademia Nauk, Institute of Paleobiology	88	76	86
0091-3669	Mosquito systematics	88	3	3
0001-5326	Acta biológica venezuelica	88	2	2
0066-7781	Arnoldia, Rhodesia / National Museums of Southern Rhodesia	88	0	0
1855-5810	Illiesia : international journal of stonefly research	87	70	80
0773-5251	Apex / Société belge de malacologie	87	16	18
0971-6378	Zoos' print : journal of the Zoo Outreach Organisation	86	2	2
0025-3146	Journal of the Marine Biological Association of India	86	0	0
1226-8615	Journal of Asia-Pacific entomology	85	84	99
0003-4215	Annales de spéléologie	85	0	0
0263-5933	Transactions of the Royal Society of Edinburgh. Earth sciences	84	28	33
0067-6160	Occasional papers of the Bernice Pauahi Bishop Museum of Polynesian Ethnology and Natural History	84	7	8
0366-2403	Bollettino di zoologia agraria e di bachicoltura	83	1	1
1019-2808	Mitteilungen / Internationaler Entomologischer Verein e.V	83	0	0
0078-7515	Pacific insects monograph	82	43	52
0021-2210	Israel journal of zoology	82	12	15
1214-1119	Bulletin of geosciences	82	11	13
0077-2070	Mitteilungen der Bayer. Staatssammlung für Paläontologie und Histor. Geologie	82	1	1
1570-7024	Crustaceana	81	26	32
1868-0356	Abhandlungen der Senckenberg Gesellschaft für Naturforschung	81	1	1
0085-2988	Journal of the Malacological Society of Australia	81	0	0
0023-3366	Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series B, Palaeontology, geology, physics, and chemistry	80	0	0
0962-8452	Proceedings. The Royal Society. Biological sciences /	79	79	100
1055-7903		79	79	100
0270-2452	Occasional papers of the Boston Society of Natural History	79	51	65
0158-4197	The Emu : official organ of the Australasian Ornithologists' Union	79	32	41
0015-542X	Földtani közlöny	79	0	0
0016-7622	Journal of the Geological Society of India	78	3	4
0254-1858	South African journal of zoology. Suid-Afrikaanse tydskrif vir dierkunde	77	77	100
0091-7958	Occasional papers of the Museum of Natural History, the University of Kansas	77	73	95
0044-0604	Proceedings of the Yorkshire Geological Society	77	5	6
0013-6220	Journal of the Elisha Mitchell Scientific Society	77	2	3
0003-9705	Archives des sciences / éditées par la Société de physique et d'histoire naturelle de Genève	77	0	0
1134-1785	Avicennia : revista de ecología, oceanología y biodiversidad tropical	77	0	0
0037-8518	Memoria - Sociedad de Ciencias Naturales La Salle	76	76	100
1287-0234	Solenodon : revista cubana de taxonomía zoológica	76	76	100
0027-8424	Proceedings of the National Academy of Sciences of the United States of America	76	61	80
0065-1737	Acta zoológica mexicana	76	15	20
0026-279X	Micronesica	76	4	5
0067-0464	Records of the Auckland Institute and Museum	76	0	0
0373-4137	Bollettino di zoologia	75	75	100
1477-2000	Systematics and biodiversity	75	75	100
0031-0182	Palaeogeography, palaeoclimatology, palaeoecology	75	74	99
0033-5037	Quaestiones entomologicae	75	1	1
0368-2889	Japanese journal of zoology. Nihon dōbutsugaku shūhō	75	1	1
1388-7890	International journal of odonatology : official organ of the Worldwide Dragonfly Association	74	74	100
0081-0266	Smithsonian contributions to paleobiology	74	29	39
0013-8819	Entomologische Arbeiten aus dem Museum G. Frey tutzing bei München	74	0	0
0079-4295	Postilla / Yale Peabody Museum of Natural History	73	70	96
0258-462X	880-01 Zhonghua kun chong = Chinese journal of entomology	73	23	32
0313-122X	Records of the Western Australian Museum. Supplement	73	1	1
0025-1291	The Malayan nature journal	73	0	0
0163-5395	Myriapodologica	73	0	0
0936-2959	Schriften zur Malakozoologie aus dem Haus der Natur--Cismar	73	0	0
1005-1694	Entomological journal of East China	73	0	0
1680-1024		73	0	0
0022-1112	Journal of fish biology	72	72	100
0918-1067	880-01 Nihon Dani Gakkai shi = Journal of the Acarological Society of Japan	72	47	65
0368-3915	Journal of the Quekett Microscopical Club	72	2	3
0177-5103	Diseases of aquatic organisms	71	70	99
0095-8530	Journal of entomology and zoology	71	27	38
1300-0179	Türk zooloji dergisi = Turkish journal of zoology	71	6	8
1001-7488	880-01 Lin ye ke xue = Scientia silvae / Zhongguo lin xue hui bian ji	71	1	1
0428-0709	Faune de Madagascar	71	0	0
1005-0507	880-01 Ji Sheng Chong Yu Yi Xue Kun Chong Xue Bao	71	0	0
1870-3453	Revista mexicana de biodiversidad	70	62	89
1318-1998	Acta entomologica Slovenica	70	16	23
0750-747X	Mémoires de la Société zoologique de France	70	5	7
0870-0001		70	2	3
0031-0301	Paleontological journal	70	0	0
0255-7576	Pakistan journal of nematology : an official publication of Pakistan Society of Nematologists	70	0	0
0038-2353	South African journal of science	69	39	57
0001-7299	Acta zoologica Fennica	69	3	4
0069-8989	Transactions of the Connecticut Academy of Arts and Sciences	69	3	4
0037-8437	Anales de la Sociedad Científica Argentina	69	2	3
0250-6378	880-01 Bei lei xue bao = Bulletin of malacology, Republic of China	69	0	0
0568-658X	Trudy Instituta geologii i geofiziki	69	0	0
1011-2014	Han'guk Kŏmi Yŏn'guso yŏn'gu pogosŏ = Korean arachnology	69	0	0
0077-9962	The New Zealand entomologist	68	68	100
0764-4469	Comptes rendus de l'Académie des sciences. Série III, Sciences de la vie	68	60	88
0030-4158	Opuscula zoologica	68	39	57
0084-5620	Transactions of the Zoological Society of London	68	21	31
0077-2232	Boletim do Museu Paraense Emílio Goeldi. Zoologia	68	5	7
0015-3850	Quarterly journal of the Florida Academy of Sciences	67	67	100
1407-8619		67	7	10
0028-0798	Le Naturaliste canadien	67	0	0
0028-1042	Die Naturwissenschaften	66	60	91
0735-6250	International journal of entomology	66	3	5
0016-8238	Journal of the Georgia Entomological Society	66	1	2
0077-2356	Mushi	66	1	2
0041-994X	The Journal of agriculture of the University of Puerto Rico	66	0	0
0375-7587	Scripta geologica	66	0	0
1984-4670	Zoologia : an international journal for zoology	65	48	74
0368-3974	Journal of the Royal Microscopical Society	65	33	51
0010-5422	The condor	65	17	26
0030-2465	The Onderstepoort journal of veterinary research / Union of South Africa, Department of Agriculture	65	6	9
0371-4810	Sitzungsberichte / Akademie der Wissenschaften in Wien, Mathematisch-naturwissenschaftliche Klasse. Abt. 1, Biologie, Mineralogie, Erdkunde	65	6	9
0023-6152	Journal of the Faculty of Agriculture, Kyushu University	65	4	6
0398-4346	Revue arachnologique	65	2	3
1374-8297	Bulletin de la Société royale belge d'entomologie = Bulletin van de Koninklijke Belgische Vereniging voor Entomologie	65	2	3
0036-5343	Sborník Národního musea v Praze. Acta Musei Nationalis Pragae. B, Hist. naturalis. B, Přírodovědný =	65	1	2
0970-0714	Records of the Zoological Survey of India. Occasional paper. Miscellaneous publication	65	0	0
1920-3047	Memoirs of the Entomological Society of Canada	64	64	100
1579-0681	Heteropterus : revista de entomología	64	1	2
0067-8546	Bijdragen tot de dierkunde	64	0	0
1226-5071	Korean journal of biological sciences	63	58	92
1345-0662	Biogeography	63	20	32
1745-1000	Marine biology research	62	62	100
0253-5890	Journal of the Egyptian Society of Parasitology	62	50	81
0366-5232	Caldasia	62	17	27
0035-9181	Transactions of the Royal Society of New Zealand. Zoology	62	3	5
0369-8211	Proceedings of the National Academy of Sciences, India. Section B	62	2	3
0963-6420	Afro-Asian journal of nematology	62	0	0
0367-0449	Estudios geológicos	61	40	66
0008-3550	The Canadian field-naturalist	61	1	2
0753-4973	Alytes	61	1	2
1448-5532	Calodema	61	1	2
1010-5220	Opuscula zoologica fluminensia	61	0	0
0066-4634	Antarctic research series	60	60	100
0016-531X	Gayana. Zoología	60	55	92
0040-313X	Journal of the Tennessee Academy of Science	60	0	0
0027-5514	Mycologia	59	59	100
0172-9179	Facies	59	56	95
0416-704X		59	3	5
0023-1339	Kieler Meeresforschungen	59	0	0
0301-2123	Acta biológica paranaense	59	0	0
0111-5383	Fauna of New Zealand	58	57	98
0287-3478	Kōkakurui no kenkyū = Researches on crustacea / Nihon Kokakurui Gakkai	58	57	98
0068-5461	Occasional papers of the California Academy of Sciences	58	54	93
0370-3908	Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales : publicación del Ministerio de Educación Nacional	58	52	90
1860-1324	Deutsche entomologische Zeitschrift	58	41	71
0042-5184	The Victorian naturalist	58	31	53
0041-3259	Tropical fish hobbyist	58	0	0
0077-8923	Annals of the New York Academy of Sciences	57	25	44
0760-0216	Entomologica gallica	57	0	0
0020-7519	International journal for parasitology	56	56	100
1947-5136	Entomologica americana	56	3	5
0325-2264	Revista del Museo de La Plata. Sección oficial	56	1	2
0930-1526	Beiträge zur Araneologie	56	0	0
0303-688X	Parasitologia Hungarica	55	55	100
1323-1650	Marine & freshwater research	55	55	100
1864-5755	Vertebrate zoology	55	35	64
0240-8783	Revue d'hydrobiologie tropicale	55	3	5
0303-9846	Revista do Museu Paulista	55	2	4
0369-8467	Papéis avulsos do Departamento de Zoologia / Secretaria da Agricultura, Indústria e Comércio	55	0	0
0375-0299	Palaeontographica. Abt. B, Paläophytologie	55	0	0
0952-7451	A Stereo-atlas of ostracod shells	55	0	0
0047-2417	Journal of entomology. Series B: Taxonomy	54	54	100
0777-6276	Belgian journal of zoology	54	24	44
0096-2651	Fieldiana: geology	54	3	6
0070-7260	Malakologische Abhandlungen	54	0	0
0418-1867	Dusenia : publicatio periodica de scientia naturali	54	0	0
0015-296X	Journal of the Fisheries Research Board of Canada	53	53	100
0891-2963	Historical biology	53	53	100
2156-4574	African journal of herpetology : journal of the Herpetological Association of Africa	53	53	100
0365-6934	Actes de la Société linnéenne de Bordeaux	53	4	8
0024-4066	Biological journal of the Linnean Society	52	52	100
0075-5036	University of Kansas publications, Museum of Natural History	52	22	42
1335-0552	Geologica Carpathica	52	4	8
0555-7631	Research bulletin of the Panjab University	52	0	0
0142-7873	Journal of plankton research	51	51	100
0354-4664	Archives of biological sciences Srpsko Biološko Društvo	51	37	73
0123-3068		51	36	71
1833-2331	CSIRO Marine and Atmospheric Research paper	51	12	24
0012-0065	Mitteilungen der Deutschen Entomologischen Gesellschaft e.V	51	5	10
0377-8398	Marine micropaleontology	50	50	100
1881-9052	Bulletin of the National Museum of Nature and Science. Series A, Zoology	50	48	96
1871-174X	Palaeoworld	50	31	62
0016-7630	880-01 Chishitsugaku zasshi	50	2	4
0326-9310	Anales del Museo Nacional de Historia Natural de Buenos Aires	50	2	4
0173-1076	Insekten, Spinnennetze und Netzspinnen / von Wolfgang Nentwig	50	0	0
2194-900X		50	0	0
1781-1104	Journal of afrotropical zoology	49	1	2
1836-5698		48	48	100
0149-175X	Occasional papers / The Museum, Texas Tech University	48	19	40
0003-9667	Archives de zoologie expérimentale et générale	48	6	13
1435-6406	Archiv für Hydrobiologie. Supplement volume	48	0	0
0254-4059	Chinese journal of oceanology and limnology = Zhongguo hai yang hu zhao xue bao / edited by the Chinese Society of Oceanology and Limnology	47	47	100
1514-5158	Revista del Museo Argentino de Ciencias Naturales	47	21	45
1067-8611		47	7	15
0003-3162	Angewandte Parasitologie	47	2	4
0044-3468	Zeitschrift für Säugetierkunde / im Auftrage der Deutschen Gesellschaft für Säugetierkunde e.V	47	1	2
0255-0091	Annalen des Naturhistorischen Museums in Wien. Serie A, Für Mineralogie und Petrographie, Geologie und Paläontologie, Anthropologie und Prähistorie	47	0	0
0003-6862	Applied entomology and zoology	46	46	100
0022-3921	The Journal of protozoology	46	46	100
0147-1724	The Southwestern entomologist	46	46	100
1932-6203	PloS one	46	46	100
0373-4129	Proceedings of the Royal Zoological Society of New South Wales	46	26	57
0007-5167	The Bulletin of zoological nomenclature	46	23	50
0374-9142	Memoirs of the Indian Museum	46	16	35
0150-9330	Annales des sciences naturelles. Zoologie et paléontologie	46	4	9
0097-0298	Bulletin of the Biological Society of Washington	46	1	2
0311-1881	Australian entomological magazine	46	0	0
0047-2484	Journal of human evolution	45	44	98
0080-889X	Senckenbergiana maritima	45	18	40
0366-3272	Boletín de la Real Sociedad Española de Historia Natural. órgano del Instituto de Ciencias Naturales José de Acosta. Sección biológica	45	4	9
0022-0493	Journal of economic entomology	45	0	0
0177-0950	Münchner geowissenschaftliche Abhandlungen. Reihe A, Geologie und Paläontologie	45	0	0
1121-1423	Rivista piemontese di storia naturale	45	0	0
0090-9246	Tulane studies in zoology	44	44	100
0954-1020	Antarctic science / Blackwell Scientific Publications	44	44	100
1438-387X	Helgoland marine research	44	44	100
0072-1050	Geological journal	44	35	80
0029-5035	Nova Hedwigia	44	9	20
1121-7545	Monografie	44	0	0
0733-1347	Herpetological monograph	43	43	100
0305-8719	Collision tectonics / edited by M.P. Coward & Alison C. Ries	43	42	98
1383-5769	Parasitology international	43	42	98
1000-3215	Liang qi pa xing dong wu xue bao = Acta herpetologica sinica / Zhongguo ke xue yuan Chengdu sheng wu yan jiu suo bian ji	43	11	26
0304-3711	Brenesia	43	1	2
1077-8306		42	42	100
1001-6538	Chinese science bulletin = Kexue tongbao	42	32	76
0070-6698	Discovery reports	42	20	48
0003-4339	Annales des sciences naturelles. Zoologie et biologie animale	42	8	19
0508-4865	The Western Australian naturalist	42	0	0
0520-1969	Biološki vestnik	42	0	0
0025-3162	Marine biology	41	41	100
0968-0470	Bulletin of the Natural History Museum. Zoology series	41	41	100
1895-3131	Acta zoologica Cracoviensia. Ser. B, Invertebrata	41	41	100
1022-0828	Journal of South Asian natural history / Wildlife Heritage Trust of Sri Lanka	41	38	93
0366-2047		41	2	5
0107-055X	Nordic journal of botany	40	39	98
0974-7893	Journal of Threatened Taxa	40	29	73
0562-4452	Stuttgarter Beiträge zur Naturkunde	40	27	68
0003-455X	Annales zoologici Fennici	40	24	60
0716-2545	Boletín del Museo Nacional de Chile / República de Chile, Ministerio de Instrucción Pública	40	11	28
0080-4568	Transactions of the Royal Society of Edinburgh	40	3	8
1342-9574	National Science Museum monographs	40	1	3
1340-2692	Natural history research. Special issue	40	0	0
0140-7775	Journal of fish diseases	39	39	100
0372-9389	Zeitschrift für Morphologie und Ökologie der Tiere	39	38	97
1322-0829	Phycological research	38	36	95
1680-7650	Taiwan kunchong Taiwan-Kunchong-Xuehui, Zhonghua-Minguo	38	19	50
0023-5377	Swenska wetenskaps academiens handlingar	38	7	18
1330-0520	Natura croatica : periodicum Musei Historiae Naturalis Croatici = časopis Hrvatskoga prirodoslovnog muzeja	38	1	3
1851-8249		38	1	3
0392-0062	Bollettino del Museo civico di storia naturale di Verona	38	0	0
0571-5628	Bulletin ... of the Association for Mexican Cave Studies	37	37	100
0748-3007	Cladistics : the international journal of the Willi Hennig Society	37	32	86
0252-192X	Stapfia Publ. d. Botanischen Arbeitsgemeinschaft am Oberösterreichischen Landesmuseum Linz	37	17	46
0440-2510	Tongmul Hakhoe chi	37	0	0
0005-8130	Beiträge zur neotropischen Fauna	36	25	69
0075-2088	Special publication	36	8	22
0095-9758	Journal of agricultural research	36	1	3
0015-9301	Fragmenta faunistica	36	0	0
0750-7321	Biologia Gallo-Hellenica	36	0	0
0015-5713	Folia primatologica	35	35	100
1631-0691	Comptes rendus. Biologies	35	35	100
1676-0603	Biota neotropica	35	22	63
0736-0460	Indo-Pacific fishes	35	1	3
1867-1616	Marine biodiversity : a journal of the Senckenberg Research Institute / Senckenberg Forschungsinstitut und Naturmuseum	34	34	100
1508-1109	Acta chiropterologica / Museum and Institute of Zoology, Polish Academy of Sciences	34	32	94
0368-1254	Jahrbücher des Nassauischen Vereins für Naturkunde	34	31	91
1562-7020	African zoology	34	27	79
1887-7419	Alavesia	34	16	47
0740-2783	American malacological bulletin	34	10	29
0973-9955	Biosystematica : an international journal on animal taxonomy, diversity, ecology & zoogeography / Prof. T.C. Narendran Trust for Animal Taxonomy	34	2	6
1225-0171	Spring meeting : Abstracts	34	1	3
0044-2291	Zeitschrift für angewandte Zoologie	34	0	0
0570-1619		34	0	0
0029-7224	Cahiers O.R.S.T.O.M. Série entomologie médicale et parasitologie	33	33	100
0387-964X	Kitakyūshū Shiritsu Shizenshi Hakubutsukan kenkyū hōkoku = Bulletin of the Kitakyushu Museum of Natural History	33	33	100
0090-0656	Fishery bulletin / U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service	33	24	73
0077-6122	Verhandlungen der Naturforschenden Gesellschaft in Basel	33	6	18
0037-9255	Bulletin de la Société des sciences naturelles et physiques du Maroc	33	5	15
0384-8159	Life sciences contributions / Royal Ontario Museum	33	5	15
0044-5088	Zoologica	33	3	9
0035-9173	Journal and proceedings of the Royal Society of New South Wales	33	1	3
0388-6182	Science reports of the Institute of Geoscience, University of Tsukuba. Section B, Geological sciences	33	1	3
0006-3118	Biologia gabonica	33	0	0
0734-9874	Entomography	33	0	0
0970-9037	Journal of ecobiology	33	0	0
0378-1909	Environmental biology of fishes	32	32	100
1392-1657	Acta zoologica Lituanica / Institute of Ecology	32	16	50
0145-9058	Bulletin of Carnegie Museum of Natural History	32	14	44
1660-9972	Contributions to natural history	32	6	19
0373-6660	Acta Soc. pro Fauna et Flora Fennica	32	4	13
0043-5163	Wiadomości parazytologiczne	32	1	3
0370-8608	Senckenbergiana	32	0	0
0377-8142	Revue roumaine de biologie. Série de biologie animale	32	0	0
0075-6458	Koedoe	31	31	100
0818-6839	Journal of the Entomological Society of Queensland	31	31	100
0952-7583	British journal of entomology and natural history	31	21	68
0013-8762	Bulletin of entomology	31	0	0
0304-2146	Nippon Nettai Igakkai zasshi	30	30	100
0452-9987	Contributions from the Biological Laboratory, Kyoto University	30	30	100
1435-1943	Mitteilungen aus dem Museum für Naturkunde in Berlin. Geowissenschaftliche Reihe	30	30	100
1178-9905	Zoosymposia	30	24	80
0971-7196	Journal of parasitic diseases : official organ of the Indian Society for Parasitology	30	3	10
1768-1448	Subterranean biology / International Society of Subterranean Biology	30	2	7
1013-4425	Herpetozoa : Berichte der Österreichischen Gesellschaft für Herpetologie	29	29	100
0044-3808	Zeitschrift für zoologische Systematik und Evolutionsforschung	29	27	93
0967-0262	European journal of phycology	29	27	93
0567-655X	Comptes rendus hebdomadaires des séances de l'Académie des sciences. D, Sciences naturelles	29	24	83
0340-4781	Osnabrücker naturwissenschaftliche Mitteilungen	29	23	79
0268-0130	The Herpetological journal	29	18	62
0253-505X	Acta oceanologica Sinica = Hai yang xue bao / Chinese Society of Oceanography	29	2	7
0036-9276	Scottish journal of geology	29	1	3
0032-6275	Prace Muzeum Ziemi	29	0	0
0223-5137	Neuroptera international	29	0	0
1000-8527	880-01 Xian dai di zhi = Geoscience	29	0	0
1513-9700	The natural history journal of Chulalongkorn University	28	28	100
1923-4287		28	28	100
0301-8059	Anais	28	7	25
0332-575X	Norwegian journal of entomology	28	6	21
0749-8004	Journal of entomological science	28	1	4
1519-6984	Brazilian journal of biology = Revista brasileira de biologia	27	27	100
1808-9798	South American journal of herpetology	27	27	100
1094-0782		27	24	89
0065-8170	Memoirs of the American Entomological Society	27	23	85
1738_2297		27	19	70
0205-3640	Historia naturalis bulgarica	27	15	56
0373-9627	Zitteliana	27	4	15
0021-4280	Proceedings of the Japan Academy	27	3	11
0096-5294	American journal of hygiene	27	3	11
0365-6527	Annales de la Société belge de médecine tropicale	27	3	11
1864-6417	Soil organisms	27	2	7
0044-5150	Zoologische Beiträge	27	0	0
0590-6342	Cimbebasia. Ser. A	27	0	0
1051-3825	Asiatic herpetological research	26	26	100
1464-343X	Journal of African earth sciences	26	26	100
0077-2135	Veröffentlichungen der Zoologischen Staatssammlung München	26	25	96
1676-6180	Lundiana : international journal of biodiversity	26	22	85
0717-652X	Gayana	26	21	81
1812-9250	Zoologija bespozvonočnych	26	16	62
1684-4130	Smithiana. Bulletin	26	15	58
1302-0250	Journal of the Entomological Research Society	26	10	38
2118-9773	European journal of taxonomy EJT Muséum National d'Histoire Naturelle	26	8	31
0310-0049	Australian mammalogy	26	6	23
0016-7746	Geologie en mijnbouw : tijdschrift van het Nederlandsch Geologisch-Mijnbouwkundig Genootschap	26	5	19
0812-7387	Records of the Australian Museum. Supplement	26	5	19
0371-9952	Tijdschrift der Nederlandsche Dierkundige Vereeniging	26	4	15
0080-9462	Natural history bulletin	26	1	4
0270-2444	Proceedings of the Boston Society of Natural History	26	1	4
0376-1819	Mémoires - Office de la recherche scientifique et technique outre-mer, France	26	1	4
1000-2421	Hua zhong nong ye da xue xue bao = Journal Huazhong (Central China) Agricultural University	26	1	4
0858-1088	Research bulletin / Phuket Marine Biological Center	25	25	100
0962-8436	Philosophical transactions of the Royal Society of London. Series B, Biological sciences	25	25	100
1367-9120	Journal of Asian earth sciences	25	25	100
1976-8354	Animal cells and systems	25	25	100
0369-8084	Österreichische zoologische Zeitschrift	25	23	92
0158-0760	General and applied entomology; the journal of the Entomological Society of Australia (N.S.W.)	25	5	20
1863-7221	Arthropod systematics & phylogeny	25	5	20
1189-9905	Amphipacifica : journal of systematic biology	25	2	8
0030-6525	The Ostrich	25	1	4
1941-7659	Tropical lepidoptera research	25	1	4
0380-9633	Megadrilogica	25	0	0
0385-5643	880-01 Nettai igaku = Tropical medicine	24	24	100
1064-7554	Journal of mammalian evolution	24	24	100
1345-5834	Current herpetology	24	24	100
1616-5047	Mammalian biology = Zeitschrift für Säugetierkunde	24	24	100
0238-1249	Acta phytopathologica et entomologica Hungarica	24	20	83
0076-8405	Miscellaneous publications / University of Michigan, Museum of Zoology	24	14	58
0082-9811	Technical bulletin / United States Department of Agriculture	24	1	4
0007-4187	Bulletin biologique de la France et de la Belgique	24	0	0
0049-1136	Annales de la Société royale zoologique de Belgique	24	0	0
0085-5278	Records of the Queen Victoria Museum	24	0	0
0539-2438	Investigaciones zoológicas chilenas	24	0	0
0716-0178	Anales del Museo de Historia Natural de Valparaiso	24	0	0
0971-5916	The Indian journal of medical research	24	0	0
0017-9957	Helgoländer wissenschaftliche Meeresuntersuchungen. Marine investigations. Recherches maritimes	23	23	100
0947-5745	Journal of zoological systematics and evolutionary research = Zeitschrift für zoologische Systematik und Evolutionsforschung	23	23	100
0968-0454	Bulletin of the Natural History Museum. Entomology series	23	22	96
0002-9483	American journal of physical anthropology	23	19	83
0073-8115	Insects of Micronesia / Bernice P. Bishop Museum	23	3	13
0072-9027	Gulf research reports	23	0	0
0078-9682	Annales de l'Institut océanographique	23	0	0
0082-3074	Bulletin of the Texas Memorial Museum	23	0	0
0120-0488	Revista colombiana de entomología / publicación oficial de la Sociedad Colombiana de Entomología	23	0	0
0479-8007	Xue bao = Acta Agriculturae Universitatis Pekinensis / Beijing nong ye da xue	23	0	0
0388-2357	880-02 Nihon Senchū Kenkyūkai shi = Japanese journal of nematology	22	22	100
0887-3593	Journal of the North American Benthological Society	22	22	100
0932-0113	Parasitology research	22	22	100
1519-1397	Phyllomedusa : journal of neotropical herpetology	22	22	100
1536-2442	Journal of insect science JIS	22	22	100
1017-1827	Pakistan entomologist	22	18	82
0138-0338	Polish polar research / Polish Academy of Sciences = Polskie badania polarne / Polska Akademia Nauk	22	6	27
1133-8466	Research and reviews in parasitology : revista ibérica de parasitología : official organ of Asociación de Parasitólogos Españoles	22	3	14
1875-2535	International Journal of Myriapodology	22	3	14
1094-8074	Palaeontologia electronica	22	0	0
1130-4251	Zoologica baetica	22	0	0
0376-0375	Contributions in science [of] Natural History Museum, Los Angeles County / Natural History Museum. Los Angeles County	21	20	95
0895-9811	Journal of South American earth sciences	21	20	95
1466-5026	International journal of systematic and evolutionary microbiology	21	20	95
0065-9746	Transactions of the American Philosophical Society	21	9	43
0006-8055	Botanica marina	21	7	33
0006-3304	Biologisches Zentralblatt	21	1	5
0384-823X	Transactions of the Canadian Institute	21	1	5
0096-2694		21	0	0
0252-1962	Revista de investigaciones marinas	21	0	0
1013-7041	Entomologische Berichte Luzern : Mitteilungen der Entomologischen Gesellschaft Luzern	21	0	0
1565-1916	Triton : journal of the Israel Malacological Society	21	0	0
1026-5023		20	15	75
2190-7307	Bonn zoological bulletin / publ. by Zoologisches Forschungsinstitut und Museum Alexander Koenig	20	6	30
0365-9402	Boletín chileno de parasitología	20	3	15
